model,proj,T,d_in,d_out,fp16_us,fp16_roof_us,fp16_efficiency,fp16_bound,cuda_us,cuda_quant_roof_us,cuda_gemm_roof_us,cuda_roof_us,cuda_efficiency,cuda_gemm_bound,cuda_vs_fp16_actual,cuda_vs_fp16_roofline
Qwen3-8B,down_proj,1,12288,4096,112.330885,117.525752,1.046246,mem,53.893118,,31.245864,31.245864,0.579775,fused-mem,0.479771,0.265864
Qwen3-8B,down_proj,8,12288,4096,123.141117,117.793464,0.956573,mem,62.207999,0.290439,31.341475,31.631914,0.508486,mem,0.505177,0.268537
Qwen3-8B,down_proj,32,12288,4096,124.240007,118.711335,0.955500,mem,72.403841,1.161755,31.743044,32.904799,0.454462,mem,0.582774,0.277183
Qwen3-8B,down_proj,128,12288,4096,136.232967,122.382820,0.898335,mem,108.144636,4.647021,33.349318,37.996340,0.351347,mem,0.793821,0.310471
Qwen3-8B,down_proj,512,12288,4096,326.041594,367.038937,1.125743,compute,312.238083,18.588086,91.787515,110.375601,0.353498,compute,0.957663,0.300719
Qwen3-8B,down_proj,1024,12288,4096,670.597095,734.077874,1.094663,compute,620.955849,37.176172,183.575030,220.751202,0.355502,compute,0.925975,0.300719
Qwen3-8B,down_proj,2048,12288,4096,1319.034510,1468.155749,1.113053,compute,1300.326385,74.352344,367.150060,441.502404,0.339532,compute,0.985817,0.300719
Qwen3-14B,q_proj,1,5120,5120,61.123209,61.215313,1.001507,mem,27.064321,,16.277871,16.277871,0.601451,fused-mem,0.442783,0.265912
Qwen3-14B,q_proj,8,5120,5120,65.804148,61.382633,0.932808,mem,35.573120,0.121027,16.373483,16.494510,0.463679,mem,0.540591,0.268716
Qwen3-14B,q_proj,32,5120,5120,66.419525,61.956303,0.932803,mem,41.341438,0.484108,16.732026,17.216134,0.416438,mem,0.622429,0.277875
Qwen3-14B,q_proj,128,5120,5120,70.666227,64.250980,0.909218,mem,65.986562,1.936433,18.166200,20.102633,0.304647,mem,0.933778,0.312877
Qwen3-14B,q_proj,512,5120,5120,176.445436,191.166113,1.083429,compute,170.647678,7.745733,47.805997,55.551730,0.325535,compute,0.967141,0.290594
Qwen3-14B,q_proj,1024,5120,5120,334.233589,382.332226,1.143907,compute,309.513607,15.491466,95.611995,111.103461,0.358961,compute,0.926040,0.290594
Qwen3-14B,q_proj,2048,5120,5120,650.086727,764.664452,1.176250,compute,670.689316,30.982932,191.223990,222.206921,0.331311,compute,1.031692,0.290594
Qwen3-14B,kv_proj,1,5120,2048,25.894718,24.493296,0.945880,mem,17.684480,,6.518319,6.518319,0.368590,fused-mem,0.682938,0.266127
Qwen3-14B,kv_proj,8,5120,2048,26.688643,24.610420,0.922131,mem,35.228159,0.121027,6.563735,6.684762,0.189756,mem,1.319968,0.271623
Qwen3-14B,kv_proj,32,5120,2048,26.787844,25.011989,0.933707,mem,35.422399,0.484108,6.750177,7.234286,0.204229,mem,1.322331,0.289233
Qwen3-14B,kv_proj,128,5120,2048,30.514879,26.618263,0.872304,mem,54.905601,1.936433,7.495948,9.432381,0.171793,mem,1.799306,0.354357
Qwen3-14B,kv_proj,512,5120,2048,64.206400,76.466445,1.190947,compute,73.533440,7.745733,19.122399,26.868132,0.365387,compute,1.145267,0.351372
Qwen3-14B,kv_proj,1024,5120,2048,135.128002,152.932890,1.131763,compute,140.533762,15.491466,38.244798,53.736264,0.382373,compute,1.040005,0.351372
Qwen3-14B,kv_proj,2048,5120,2048,260.843534,305.865781,1.172603,compute,270.755844,30.982932,76.489596,107.472528,0.396935,compute,1.038001,0.351372
Qwen3-14B,o_proj,1,5120,5120,61.237764,61.215313,0.999633,mem,27.074881,,16.277871,16.277871,0.601217,fused-mem,0.442127,0.265912
Qwen3-14B,o_proj,8,5120,5120,65.699844,61.382633,0.934289,mem,35.694399,0.121027,16.373483,16.494510,0.462104,mem,0.543295,0.268716
Qwen3-14B,o_proj,32,5120,5120,66.366720,61.956303,0.933545,mem,41.277442,0.484108,16.732026,17.216134,0.417083,mem,0.621960,0.277875
Qwen3-14B,o_proj,128,5120,5120,70.707188,64.250980,0.908691,mem,65.966082,1.936433,18.166200,20.102633,0.304742,mem,0.932947,0.312877
Qwen3-14B,o_proj,512,5120,5120,176.258888,191.166113,1.084576,compute,170.240002,7.745733,47.805997,55.551730,0.326314,compute,0.965852,0.290594
Qwen3-14B,o_proj,1024,5120,5120,334.661427,382.332226,1.142445,compute,308.848648,15.491466,95.611995,111.103461,0.359734,compute,0.922869,0.290594
Qwen3-14B,o_proj,2048,5120,5120,668.058567,764.664452,1.144607,compute,669.112320,30.982932,191.223990,222.206921,0.332092,compute,1.001577,0.290594
Qwen3-14B,gate_up_proj,1,5120,34816,378.242884,416.194809,1.100337,mem,191.036797,,110.620205,110.620205,0.579052,fused-mem,0.505064,0.265789
Qwen3-14B,gate_up_proj,8,5120,34816,426.477108,416.847358,0.977420,mem,214.312954,0.121027,111.201046,111.322073,0.519437,mem,0.502519,0.267057
Qwen3-14B,gate_up_proj,32,5120,34816,435.978241,419.084669,0.961251,mem,223.108482,0.484108,113.223231,113.707339,0.509650,mem,0.511742,0.271323
Qwen3-14B,gate_up_proj,128,5120,34816,458.999367,428.033912,0.932537,mem,388.648338,1.936433,121.311970,123.248403,0.317121,mem,0.846730,0.287941
Qwen3-14B,gate_up_proj,512,5120,34816,1231.944056,1299.929569,1.055186,compute,1218.211823,7.745733,325.080782,332.826515,0.273209,compute,0.988853,0.256034
Qwen3-14B,gate_up_proj,1024,5120,34816,2341.993542,2599.859138,1.110105,compute,2295.385895,15.491466,650.161565,665.653031,0.289996,compute,0.980099,0.256034
Qwen3-14B,gate_up_proj,2048,5120,34816,4595.783548,5199.718276,1.131411,compute,4427.182007,30.982932,1300.323129,1331.306061,0.300712,compute,0.963314,0.256034
